,input,target
774,did you feel that ?,yes i did . . .
775,sir ?,you better take this .
776,elaine .,te . . . !
777,it s got to be stopped !,but ted the invitations have already gone out .
778,ted what s wrong ?,ask simon .
779,ted we re taking off !,let me by elaine .
780,ted .,not now elaine !
781,not now elaine !,ted !
782,i ve never used the word insane ted .,what word would you use elaine ?
783,elaine !,ted !
784,ted !,elaine what s going on ?
785,elaine what s going on ?,ted there s no time to explain .
786,ted we ve only got ten minutes .,not now elaine .
787,not now elaine .,i mean until we start to burn up .
788,are you afraid ?,not when i m with you ted .
789,set !,now !
790,now !,compute !
791,frank s the best pilot in the program .,i m so excited simon .
792,i m so excited simon .,i guess this is a first for you .
793,i guess this is a first for you .,no i ve been excited before .
794,have you got it straightened out now ?,i think so .
795,i think so .,that s my girl .
796,maybe .,simon what are you saying ? !
797,roger .,you can do it from up here captain .
798,negative .,that doesn t make sense . repeat analysis .
799,that doesn t make sense . repeat analysis .,negative .
800,negative .,that s not possible .
801,go ahead .,you have great tits .
802,can i hold him ?,sure .
803,sure .,he s a boy dog .
804,he s a boy dog .,yeah .
805,all right . here .,what . . . ?
806,you re sure ?,i m sure .
807,sixteen c why ?,he s carrying a bomb .
808,he s carrying a bomb .,a b . . .
809,captain oveur ?,mr . kurtz i presume .
810,i have to see bud kruger .,do you have an appointment sir ?
811,you can t go in there !,don t try to stop me !
812,ah won t you sit down ?,thank you . cream ?
813,captain how soon can we land ?,i can t tell .
814,can t you take a guess ?,well . . .not for another two hours .
815,what did he have ?,he had fish .
816,elaine !,ted !
817,ted what are you doing here ?,elaine i ve got to talk to you .
818,i love you elaine .,i love you .
819,rain .,and a little ice .
820,and a little ice .,and a little ice !
821,rats ! i ve lost number three .,what happened ted ? what went wrong ?
822,ted . . .,yes ?
823,see them elaine ?,uh huh .
824,we have a visitor .,hello .
825,you promise you ll write .,every day .
826,bill ! bill ! good bye bill .,good bye darling .
827,oh i can t stand it .,what is it ?
828,hi !,i m randy .
829,oh i d love to .,okay this is one of my favorites .
830,roger .,huh ?
831,roger .,huh ?
832,excuse me sister ?,yes ?
833,you okay ?,yeah . . .
834,you are cassandra ?,that s right .
835,in there .,show me .
836,william harcourt ?,yes . . .
837,this is becoming a serious breach of security .,he didn t recognize me .
838,kill them both .,here ?
839,here ?,do it !
840,what s this ? what s going on ?,nothing .
841,nothing .,nothing ?
842,get the picture ?,and that fits ?
843,why did you do it ?,why d i do what ?
844,who said that ?,at the end of the bar .
845,uh matthew . . .,back off george .
846,back off george .,but i .
847,but i .,i ll handle it .
848,screw you .,screw me ? that can t be right .
849,tell me .,your mother mates out of season .
850,matthew you don t have to .,stay back ! i m okay .
851,who is he ?,todd watson . the assistant manager .
852,yeah . . . i know the routine .,you are married ?
853,you are married ?,was . divorced .
854,well let s roll george .,to the . . . to the beach ?
855,stop the car .,why ?
856,why ?,please i must get out here .
857,what was that about ?,nothing .
858,we ? you ve taken it ?,we all did .
859,no ! we must do this alone .,do what ? ! george ? !
860,what is this ? !,. . . it s harcourt .
861,. . . it s harcourt .,harcourt is dead .
862,how do i look ?,you look very good .
863,does that look at all suspicious to you ?,whatever gave you that idea ?
864,get outta there !,i can t ! do you mind !
865,movement !,position ?
866,position ?,can t lock up . . .
867,can t lock up . . .,talk to me hudson .
868,talk to me hudson .,uh seems to be in front and behind .
869,i ll go .,what ?
870,how much time ?,plenty ! twenty six minutes !
871,plenty ! twenty six minutes !,we re not leaving !
872,you did okay bishop .,well thanks i
873,no . there s no way !,hear me out . . .
874,you son of a bitch .,don t make me pull rank ripley .
875,still nothing from the colony ?,dead on all channels .
876,what is it ?,i don t know .
877,i don t know .,proceed inside .
878,i told them to fall back . . .,they re but off ! do something !
879,sir ?,yes hicks ?
880,yes hicks ?,hudson sir . he s hicks .
881,hudson sir . he s hicks .,what s the question ?
882,save it .,sure hicks .
883,let s get the fuck out of here !,not that tunnel the other one !
884,the corner ! ready ?,do it !
885,seventeen meters .,let s get these things lit .
886,well you re not reading it right !,six meters . five . what the fu
887,let s go ! let s go !,fuckin a !
888,they re in the approach corridor .,on my way .
889,they ll get us .,maybe . maybe not .
890,locked .,stand back .
891,hicks don t let him leave .,we ain t going anywhere .
892,ellen .,don t be long ellen .
893,fuck you .,anytime . anywhere .
894,it s inside the complex .,you re just reading me .
895,thanks .,uh what s next ?
896,range twenty meters .,seal the door .
897,and how are we today ?,terrible .
898,casey . she s my only friend .,what about me ?
899,i don t want you for a friend .,why not ?
900,you promise ?,cross my heart .
901,cross my heart .,and hope to die ?
902,yes there are aren t there .,why do they tell little kids that ?
903,no it s different honey .,did you ever have a baby ?
904,did you ever have a baby ?,yes . a little girl .
905,yes . a little girl .,where is she ?
906,where is she ?,gone .
907,gone .,you mean dead .
908,burke ! open the door !,look !
909,are we going to sleep now ?,that s right .
910,that s right .,can we dream ?
911,can we dream ?,yes honey . i think we both can .
912,sixty maybe seventy families .,sweet jesus .
913,his grace is very angry with you .,what do you mean ?
914,well i heard you met herr mozart .,oh ? news travels fast in vienna .
915,yes .,is there a part for me ?
916,is there a part for me ?,no .
917,no .,how do you know ?
918,where ?,in a harem .
919,in a harem .,what s that ?
920,what s that ?,a brothel .
921,a brothel .,oh !
922,what does he look like ?,you might be disappointed .
923,you might be disappointed .,why ?
924,did you know ? had you heard ?,what ?
925,what ?,the marriage !
926,the marriage !,well what does it matter to you ?
927,how was i ? tell me honestly .,you were sublime .
928,you were sublime .,what did you think of the music ?
929,what did you think of the music ?,extremely clever .
930,extremely clever .,meaning you didn t like it .
931,don t bother !,what ?
932,what ?,don t bother .
933,don t bother .,i ll be right back .
934,oh excuse me !,is her mother still lying on the floor ?
935,is her mother still lying on the floor ?,no she s fine .
936,no she s fine .,i m so relieved .
937,is she a good fuck ?,what ? ?
938,what is it ?,i want to go !
939,i want to go !,where ?
940,where ?,i want to go back to vienna .
941,i want to go back to vienna .,now ?
942,now ?,yes !
943,yes !,why ?
944,that s stupid .,why ? people fart backwards .
945,why ? people fart backwards .,do you think that s funny ?
946,no i m not playing this game .,no this is serious . say it backwards .
947,no this is serious . say it backwards .,no !
948,tish i m tee . what s that ?,what ?
949,what ?,tish i m tee .
950,tish i m tee .,eat
951,eat,yes .
952,yes .,eat my ah !
953,you borrowed money from your mother ?,yes !
954,yes !,well don t do that again !
955,what s the matter with you ?,tell them to go !
956,tell them to go !,sssh . what is it ? tell me .
957,sssh . what is it ? tell me .,no !
958,no !,yes !
959,yes !,i love you ! i love you !
960,there s a young girl to see you .,what does she want ?
961,what does she want ?,i don t know .
962,i don t know .,well ask her !
963,wolfi .,yes my love ?
964,wolfi ! your father is dead .,what ?
965,what ?,your father is dead .
966,you re not going to do this ?,why not ? half the house !
967,who was that ?,no one .
968,no one .,i heard voices .
969,i m not telling you .,why not ?
970,why not ?,you d think i was mad .
971,no . don t answer it !,why ?
972,give me one reason i can understand .,i can t write it !
973,i can t write it !,why not ?
974,why not ?,it s killing me .
975,excellency !,madame . how can i help you ?
976,he s terribly busy sir .,i understand .
977,then he didn t send you ?,no sir . this is my own idea .
978,no sir . this is my own idea .,i see .
979,originals ?,yes .
980,come back tonight .,tonight ?
981,tonight ?,alone .
982,alone .,what for ?
983,what do you mean ?,isn t it obvious ?
984,why you ?,i was at hand .
985,he asked me to stay .,and i m asking you
986,am i interrupting something ?,not at all .
987,not at all .,where s our friend ?
988,money ! money !,you re mad ! she s mad wolfi .
989,i see that you re expecting .,oh yes .
990,oh yes .,when may i ask ?
991,when may i ask ?,in three months ! papa .
992,be careful !,be careful !
993,he s adorable !,adorable !
994,behold !,behold !
995,hey !,hey !
996,behold !,behold !
997,i said play !,michael !
998,what a strange young man .,yes . he is a little strange .
999,really ?,ah now ! here she comes .
1000,just one year .,who was your teacher ?
1001,what a charming idea . may i see ?,it s just a trifle of course .
1002,it s just a trifle of course .,may i try it ?
1003,may i try it ?,majesty .
1004,a flat majesty .,ah ha !
1005,an interesting idea majesty . but,yes ?
1006,sire .,well . there it is .
1007,what ? on one hearing only ?,i think so sire yes .
1008,yes indeed .,and german ?
1009,excuse me but how old are you ?,twenty six .
1010,well yes i admit it is .,would you tell me why ?
1011,would you tell me why ?,well majesty it is only a comedy .
1012,yes sir .,well . there it is .
1013,well what do you have for me today ?,your majesty herr mozart
1014,your majesty herr mozart,yes what about him ?
1015,yes what about him ?,he s here .
1016,why are you here ?,am i not welcome ?
1017,is she not here ?,i don t know . stanzi ? stanzi !
